,지점명,일강수량(mm),평균풍속(m/s),최다풍향(16방위),년,월,일
0,서울,,4.6,290,2015,1,1
1,서울,,3.2,270,2015,1,2
2,서울,,1.9,230,2015,1,3
3,서울,0.0,2.0,50,2015,1,4
4,서울,0.4,2.4,70,2015,1,5
5,서울,3.0,4.3,290,2015,1,6
6,서울,,2.5,270,2015,1,7
7,서울,,2.2,270,2015,1,8
8,서울,,2.0,270,2015,1,9
9,서울,,2.3,270,2015,1,10
10,서울,,3.6,290,2015,1,11
11,서울,,1.8,270,2015,1,12
12,서울,,1.8,50,2015,1,13
13,서울,,1.5,20,2015,1,14
14,서울,,2.1,270,2015,1,15
15,서울,0.3,4.0,250,2015,1,16
16,서울,,3.8,270,2015,1,17
17,서울,4.0,2.3,50,2015,1,18
18,서울,0.1,3.2,270,2015,1,19
19,서울,,1.9,50,2015,1,20
20,서울,,2.0,70,2015,1,21
21,서울,,1.5,270,2015,1,22
22,서울,,2.6,50,2015,1,23
23,서울,,1.8,290,2015,1,24
24,서울,3.0,3.5,70,2015,1,25
25,서울,0.5,2.6,270,2015,1,26
26,서울,,3.7,290,2015,1,27
27,서울,,2.3,70,2015,1,28
28,서울,,2.3,70,2015,1,29
29,서울,,3.8,290,2015,1,30
30,서울,,2.6,270,2015,1,31
31,서울,,1.9,290,2015,2,1
32,서울,,1.5,20,2015,2,2
33,서울,,2.1,20,2015,2,3
34,서울,,2.0,270,2015,2,4
35,서울,,3.0,270,2015,2,5
36,서울,,2.2,290,2015,2,6
37,서울,,2.6,250,2015,2,7
38,서울,,5.3,290,2015,2,8
39,서울,0.2,3.1,270,2015,2,9
40,서울,,2.8,250,2015,2,10
41,서울,,2.5,270,2015,2,11
42,서울,,4.2,270,2015,2,12
43,서울,,3.1,270,2015,2,13
44,서울,,2.2,20,2015,2,14
45,서울,,2.9,70,2015,2,15
46,서울,10.5,3.5,70,2015,2,16
47,서울,0.5,3.5,290,2015,2,17
48,서울,0.0,2.5,270,2015,2,18
49,서울,,1.6,290,2015,2,19
50,서울,,2.0,50,2015,2,20
51,서울,8.0,3.4,70,2015,2,21
52,서울,2.5,4.1,270,2015,2,22
53,서울,,3.0,270,2015,2,23
54,서울,,2.3,270,2015,2,24
55,서울,0.5,2.9,50,2015,2,25
